Name,Category,Author,Price,Series,Pages,Publisher,Date,Language,ISBN_10,ISBN_13,Dimensions,Weight
Learning in Space: Bess and Alex,Science Fiction : Space Opera,Joyce Reynolds-Ward,$12.00,,158 pages,CreateSpace Independent Publishing Platform,"November 15, 2017",English,1979803552,978-1979803557,6 x 0.4 x 9 inches,10.4 ounces
Date Night on Union Station (EarthCent Ambassador),Science Fiction : Space Opera,E. M. Foner,$7.95,EarthCent Ambassador (Book 1),188 pages,Foner Books,"November 14, 2017",English,0972380191,978-0972380195,6 x 0.4 x 9 inches,10.6 ounces
Oath of Vengeance (Vigilante) (Volume 2),Science Fiction : Space Opera,Terry Mixon and Glynn Stewart,$12.99,Vigilante,244 pages,Faolan's Pen Publishing Inc.,"November 27, 2017",English,1988035295,978-1988035291,6 x 0.6 x 9 inches,15 ounces
Legge Massima (Nuova Alba) (Volume 1) (Italian Edition),Science Fiction : Space Opera,Manuel Marangoni,$16.83,Nuova Alba (Book 1),492 pages,CreateSpace Independent Publishing Platform; 1 edition,"November 28, 2017",Italian,1981183965,978-1981183968,6 x 1.1 x 9 inches,1.8 pounds
Fugitive (The Shadow Order) (Volume 5),Science Fiction : Space Opera,Michael Robertson,$8.99,The Shadow Order (Book 5),290 pages,CreateSpace Independent Publishing Platform,"November 15, 2017",English,1981410120,978-1981410125,5 x 0.7 x 8 inches,13.6 ounces
Threshold of Eternity,Science Fiction : Space Opera,John Brunner and Damien Broderick,$9.13,,236.0 pages,Phoenix Pick,"November 8, 2017",English,1612423698,978-1612423692,6 x 0.5 x 9 inches,11.7 ounces
Beyond Terra: Tales from the Seven Worlds,Science Fiction : Space Opera,Iain Richmond and Tricia Callahan,$4.95,,56.0 pages,Lore Mountain Productions,"November 1, 2017",English,1946807044,978-1946807045,5 x 0.1 x 8 inches,2.4 ounces
Echoes of Angels (Sins of Angels),Science Fiction : Space Opera,Matt Larkin and J.S. Morin,$16.99,Sins of Angels (Book 1),218 pages,Magical Scrivener Press,"November 10, 2017",English,1942642458,978-1942642459,5.5 x 0.6 x 8.5 inches,12.2 ounces
Bring the Thunder (War Wolves) (Volume 1),Science Fiction : Space Opera,Jonathan Yanez and Justin Sloan,$14.99,War Wolves (Book 1),332 pages,CreateSpace Independent Publishing Platform,"November 7, 2017",English,1979525064,978-1979525060,5 x 0.8 x 8 inches,15.2 ounces
The Toll Road Between the Stars (Perseus Gate) (Volume 5),Science Fiction : Space Opera,M. D. Cooper,$5.99,Perseus Gate (Book 5),110 pages,CreateSpace Independent Publishing Platform,"November 11, 2017",English,1979691797,978-1979691796,5.2 x 0.3 x 8 inches,6.4 ounces
The Heirs of Earth: Children of Earthrise Book 1,Science Fiction : Space Opera,Daniel Arenson,$15.99,Children of Earthrise (Book 1),442 pages,CreateSpace Independent Publishing Platform,"November 17, 2017",English,1979817324,978-1979817325,6 x 1.1 x 9 inches,1.6 pounds
"Flames: Galaxy On Fire, Book 2 (Volume 2)",Science Fiction : Space Opera,Craig Robertson,$12.99,Galaxy On Fire,216 pages,Imagine-It Publishing,"November 23, 2017",English,0998925349,978-0998925349,6 x 0.5 x 9 inches,13.6 ounces
