ID,Name,Category,Author,Price,Series,Pages,Publisher,Date,Language,ISBN_10,ISBN_13,Dimensions,Weight
1519,Sisterhood of Suns  :  Daughters of Eve,Science Fiction - Space Opera,Martin Schiller,$20.53,,614.0,Pantari Press,July 2016,,0692754148,9780692754146,9.02 x 5.98 x 1.24 inches,1.78 pounds
1520,Fire and Rebirth  :  The Beginning of My Descendants,Science Fiction - Space Opera,Shon Powers,$12.00,,304.0,Createspace Independent Publishing Platform,June 2016,,1523866381,9781523866380,9.02 x 5.98 x 0.64 inches,0.9 pounds
1521,Molran  :  A Tale of the Final Fall of Man,Science Fiction - Space Opera,Andrew Hindle,$15.50,,446.0,Createspace Independent Publishing Platform,June 2016,,1530605814,9781530605811,9.02 x 5.98 x 0.99 inches,1.43 pounds
1522,"Ad Astra 009 Buchausgabe  :  Der Schattenstern II: Zweiter Teil Der Neuen Trilogie!""",Science Fiction - Space Opera,Michael Klein,$13.95,,206.0,Createspace Independent Publishing Platform,June 2016,,1533674582,9781533674586,7.99 x 5.24 x 0.44 inches,0.48 pounds
1523,Galactic Storm,Science Fiction - Space Opera,Morgan Blayde,$10.99,,276.0,Createspace Independent Publishing Platform,June 2016,,1533689083,9781533689085,9 x 6 x 0.58 inches,0.82 pounds
1524,The Remnant Fleet,Science Fiction - Space Opera,Geonn Cannon,$17.99,,200.0,"""Supposed Crimes, LLC""",June 2016,,1944591192,9781944591199,8.5 x 5.5 x 0.42 inches,0.52 pounds
1525,Deathstalker,Science Fiction - Space Opera,Simon R. Green,$16.99,,414.0,"""Jabberwocky Literary Agency, Inc.""",June 2016,,1625672071,9781625672070,9 x 6 x 0.92 inches,1.33 pounds
1526,Contact Imminent,Science Fiction - Space Opera,Kristine Smith,$18.99,,394.0,Bookview Cafe,June 2016,,1611386128,9781611386127,9.02 x 5.98 x 0.81 inches,1.16 pounds
1527,Spear of Light,Science Fiction - Space Opera,Brenda Cooper,$18.00,,400.0,Pyr,June 2016,,1633881342,9781633881341,8.2 x 5.5 x 1.1 inches,0.8 pounds
1528,The Centress,Science Fiction - Space Opera,Carolyn Neuman,$11.95,,202.0,Wasteland Press,June 2016,,1681111187,9781681111186,8 x 5 x 0.46 inches,0.49 pounds
1529,"""Ghost World  :  The Golden Amazon Saga, Book Nineteen""",Science Fiction - Space Opera,John Russell Fearn,$13.99,,132.0,Wildside Press,June 2016,,1479422053,9781479422050,9 x 6 x 0.31 inches,0.45 pounds
1530,Technophobia,Science Fiction - Space Opera,Liam Gibbs,$15.00,,186.0,Createspace Independent Publishing Platform,June 2016,,1514376997,9781514376997,9.02 x 5.98 x 0.43 inches,0.62 pounds
1531,Against That Time,Science Fiction - Space Opera,Edward McKeown,$15.95,,282.0,Moondream Press,June 2016,,1943690065,9781943690060,9 x 6 x 0.59 inches,0.84 pounds
1532,The Flight to Mecha,Science Fiction - Space Opera,Rod Kierkegaard Jr and Kris Carey,$18.99,,326.0,Curiosity Quills Press,June 2016,,1620074176,9781620074176,9 x 6 x 0.73 inches,1.06 pounds
1533,Pirates of Mars,Science Fiction - Space Opera,Chris Gerrib,$14.95,,316.0,Cincinnatus Press,June 2016,,1632021617,9781632021618,7.81 x 5.06 x 0.66 inches,0.68 pounds
1534,Stupid Humans,Science Fiction - Space Opera,V. R. Craft,$18.99,,538.0,Fleet Press,June 2016,,1633731367,9781633731363,9 x 6 x 1.2 inches,1.72 pounds
1535,Zeraph's Path  :  Life on Phobos,Science Fiction - Space Opera,R. Lewis Wright,$14.99,,300.0,Createspace Independent Publishing Platform,June 2016,,153362707X,9781533627070,7.99 x 5 x 0.67 inches,0.72 pounds
1536,Gulliver of Mars,Science Fiction - Space Opera,Edwin L. Arnold,$9.99,,176.0,Createspace Independent Publishing Platform,June 2016,,153469711X,9781534697119,7.8 x 5.08 x 0.38 inches,0.39 pounds
1537,Creation,Science Fiction - Space Opera,Greg Chase,$12.99,,270.0,Createspace Independent Publishing Platform,June 2016,,1534806075,9781534806078,8.5 x 5.51 x 0.61 inches,0.76 pounds
1538,"Hdw 038  :  Das Grausame Universum: Smaragd Lebt - Und Auf Ihm Die Veranderten!""",Science Fiction - Space Opera,Erno Fischer,$5.38,,64.0,Createspace Independent Publishing Platform,June 2016,,1534826610,9781534826618,8 x 5.25 x 0.13 inches,0.17 pounds
1539,Vengeance and Secrets,Science Fiction - Space Opera,John Ronald,$11.95,,276.0,Createspace Independent Publishing Platform,June 2016,,1534914838,9781534914834,9 x 6 x 0.58 inches,0.82 pounds
1540,A Journey in Other Worlds  :  A Romance of the Future,Science Fiction - Space Opera,John Jacob Astor,$10.99,,226.0,Createspace Independent Publishing Platform,June 2016,,1535003146,9781535003148,7.8 x 5.08 x 0.48 inches,0.5 pounds
1541,Le Visiteur,Science Fiction - Space Opera,Boris Tzaprenko,$10.00,,252.0,Boris Tzaprenko,June 2016,,2366251068,9782366251067,9 x 6 x 0.53 inches,0.75 pounds
1542,Speedwing,Science Fiction - Space Opera,Dave Bara and Harris Channing and Marsha Briscoe,$16.99,,216.0,Whsikey Creek Press,June 2016,,1611605334,9781611605334,9 x 6 x 0.46 inches,0.65 pounds
1543,Ninefox Gambit,Science Fiction - Space Opera,Yoon Ha Lee,$9.99,,384.0,Solaris,June 2016,,1781084491,9781781084496,7.8 x 5.1 x 0.8 inches,0.5 pounds
1544,Collusion Course  :  Mission 10,Science Fiction - Space Opera,J. S. Morin,$14.99,,156.0,Magical Scrivener Press,June 2016,,1942642008,9781942642008,8.5 x 5.51 x 0.36 inches,0.45 pounds
1545,Seykara,Science Fiction - Space Opera,Elizabeth LaCroix-Wagaman,$28.95,,774.0,Createspace Independent Publishing Platform,June 2016,,1530702364,9781530702367,9.02 x 5.98 x 1.54 inches,2.24 pounds
1546,El Diario Sideral de Juan Solo,Science Fiction - Space Opera,Albert Campillo Lastra and Albert Campillo Lastra,$5.83,,126.0,Createspace Independent Publishing Platform,June 2016,,1533661936,9781533661937,9.02 x 5.98 x 0.27 inches,0.39 pounds
1547,Fanatic's Bane  :  Spacefarer: Malbane Chronicles 1,Science Fiction - Space Opera,Edmund de Wight,$10.99,,286.0,Createspace Independent Publishing Platform,June 2016,,1533686572,9781533686572,9.02 x 5.98 x 0.6 inches,0.85 pounds
1548,"Ad Astra 002 Buchausgabe  :  Das Sterbende Imperium I: Erster Teil Des Neuen Zweiteilers!""",Science Fiction - Space Opera,Michael Klein,$13.95,,246.0,Createspace Independent Publishing Platform,June 2016,,1533695016,9781533695017,7.99 x 5.24 x 0.52 inches,0.57 pounds
1549,Star Gate 151-152  :  Gotterdammerung: Eine Welt Im Umbruch - Und Die Jagd Nach Den Selbsternannten Gottern!,Science Fiction - Space Opera,Wilfried a. Hary,$8.45,,138.0,Createspace Independent Publishing Platform,June 2016,,1534661085,9781534661080,8 x 5.25 x 0.3 inches,0.33 pounds
1550,Gg 067  :  Planet Der Monster: Das Grausige Geheimnis Der Genmanipulatoren!,Science Fiction - Space Opera,Wilfried a. Hary,$5.38,,66.0,Createspace Independent Publishing Platform,June 2016,,1534731563,9781534731561,7.99 x 5.24 x 0.14 inches,0.17 pounds
1551,"""The Year's Best Military & Adventure SF 2015, Volume 2""",Science Fiction - Space Opera,David Afsharirad,$16.00,,288.0,Baen,June 2016,,147678177X,9781476781778,9.2 x 6.1 x 0.8 inches,0.6 pounds
1552,The Exile of the Skies,Science Fiction - Space Opera,Richard Vaughan,$17.95,,332.0,Jerry Schneider Enterprises LLC,June 2016,,0692745068,9780692745069,9 x 6 x 0.69 inches,0.98 pounds
1553,Sibling Rivalry  :  A Short Story,Science Fiction - Space Opera,Anthony Francis,$5.99,,46.0,Thinking Ink Press,June 2016,,1942480113,9781942480112,7.01 x 5 x 0.11 inches,0.11 pounds
1554,Jenizaros,Science Fiction - Space Opera,Chris Kennedy and Elsa Canarete-Valentini,$15.95,,442.0,Chris Kennedy Publishing,June 2016,,1942936168,9781942936169,8.5 x 5.5 x 0.9 inches,1.12 pounds
1555,Bonds of Contrition  :  Core: Book Three,Science Fiction - Space Opera,Maquel a. Jacob and Dar Albert,$14.95,,260.0,Createspace Independent Publishing Platform,June 2016,,1533594171,9781533594174,8 x 5 x 0.55 inches,0.57 pounds
1556,Tales of a Space Tramp,Science Fiction - Space Opera,Daphne Anne Smith,$10.99,,280.0,Createspace Independent Publishing Platform,June 2016,,1533656673,9781533656674,9.02 x 5.98 x 0.59 inches,0.83 pounds
1557,"Ad Astra 008 Buchausgabe  :  Der Schattenstern I: Erster Teil Der Neuen Trilogie!""",Science Fiction - Space Opera,Michael Klein,$13.95,,254.0,Createspace Independent Publishing Platform,June 2016,,1533674418,9781533674418,7.99 x 5.24 x 0.53 inches,0.59 pounds
1558,Ad Astra 003 Buchausgabe  :  Das Sterbende Imperium II: ?Letzter Teil Des Neuen Zweiteilers!?,Science Fiction - Space Opera,Michael Klein,$13.95,,234.0,Createspace Independent Publishing Platform,June 2016,,1533695148,9781533695147,7.99 x 5.24 x 0.49 inches,0.54 pounds
1559,Star Nomad,Science Fiction - Space Opera,Lindsay Buroker,$9.99,,228.0,Createspace Independent Publishing Platform,June 2016,,153463455X,9781534634558,9 x 6 x 0.52 inches,0.75 pounds
1560,Honor's Flight,Science Fiction - Space Opera,Lindsay Buroker,$9.99,,256.0,Createspace Independent Publishing Platform,June 2016,,1534634592,9781534634596,9.02 x 5.98 x 0.58 inches,0.84 pounds
1561,Starseers,Science Fiction - Space Opera,Lindsay Buroker,$9.99,,222.0,Createspace Independent Publishing Platform,June 2016,,1534634711,9781534634718,9 x 6 x 0.51 inches,0.73 pounds
1562,(The Sovereign of the Hucens Series) Shooting Star,Science Fiction - Space Opera,Ashley Hemmings,$14.99,,398.0,Createspace Independent Publishing Platform,June 2016,,1534688048,9781534688049,9 x 6 x 0.82 inches,1.17 pounds
1563,Yujin Craile  :  The Sacred Pot,Science Fiction - Space Opera,Jarvis Kelly Jordan,$13.50,,62.0,Createspace Independent Publishing Platform,June 2016,,1534704566,9781534704565,11 x 8.5 x 0.16 inches,0.49 pounds
